case,primary_nm,secondary_nm,time_h,shell,A,S,C,R,B,T,U,V,W,P,Q,L,E,D,X,LA,LS,J,H,beta_nm_per_copy,initial_cell_weight,optical_weight,damage_in_per_h,repair_per_h,hazard_per_h,commitment_flux_per_h,permeabilization_flux_per_h,delivery_per_initial_cell_per_h
sampled_peak,8.25404185268019,3.0,0.0,1,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.037037037037037035,0.7,0.0,0.0,0.0,0.0,0.0,0.0
sampled_peak,8.25404185268019,3.0,0.0,2,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.25925925925925924,0.85,0.0,0.0,0.0,0.0,0.0,0.0
sampled_peak,8.25404185268019,3.0,0.0,3,0.0,0.0,0.0,415.1347667934616,0.0,0.0,141.00773847342992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004151347667934616,0.7037037037037037,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sampled_peak,8.25404185268019,3.0,6.0,1,0.036907278772124845,0.08971417415206995,0.007198129103429428,406.4995362610095,6.304019864549919,1.2836428370769193,140.44163754990007,1.2712739240530466,0.251523754753158,1.0409680938794472,0.00019916380574472585,0.9999999999956841,4.051859121938391e-12,2.645126820072048e-13,0.0,0.14311320922024945,0.02325074371286192,1.1201540113083164,2.616121417120054e-13,0.004151347667934616,0.037037037037037035,0.7,0.00015595177478509655,5.75207626756439e-06,1.0403391784687796e-11,1.0403391784642895e-11,6.753098536563985e-13,0.6999453165440046
sampled_peak,8.25404185268019,3.0,6.0,2,0.2795190902659722,0.0946366194679509,0.07764978012253593,348.30505860822,45.420212927131196,12.49041940893872,136.16224901543708,10.228558870591996,2.700225876994178,11.961764428782924,0.002377505652285512,0.9999999923211919,7.190863422261107e-09,4.879452700020511e-10,0.0,1.3197884797285049,0.2680711767206245,12.91489887928349,4.82415047914735e-10,0.004151347667934616,0.25925925925925924,0.85,0.0017688403384951206,6.86650558186265e-05,1.7697353055334657e-08,1.769735291944008e-08,1.1984772370435178e-09,7.514242374712611
sampled_peak,8.25404185268019,3.0,6.0,3,2.876055286987798,0.12279700627101009,1.188841618118497,86.80736375921747,188.13925547926596,73.69202221956093,104.0528617070312,69.83619041616227,25.341905540227444,147.77504504254625,0.03165460176873221,0.9999780015833458,2.0372621950818335e-05,1.6257947042515421e-06,0.0,13.186843885343182,3.3570529783245333,161.73316459398055,1.6047249271135483e-06,0.004151347667934616,0.7037037037037037,1.0,0.018701044964137145,0.0009142207486560244,4.1754484535684437e-05,4.175356600313644e-05,3.395436991803056e-06,70.52195969557843
sampled_peak,8.25404185268019,3.0,12.0,1,0.1589385905041256,0.08638497551033526,0.036469947012944134,366.96110624091256,31.835453272930838,7.437592100716469,136.007420256646,10.29043912528038,2.291783918906494,15.969827599765699,0.005344305230600153,0.9999998464110378,1.370199729964969e-07,1.6568989704664355e-08,0.0,2.1513825014622623,0.37724960776663163,18.174801917003567,1.6233931844885172e-08,0.004151347667934616,0.037037037037037035,0.7,0.0023452192479160028,0.00015434958761009434,2.010095723778278e-07,2.0100954150497616e-07,2.2836662166082818e-08,6.377621955205505
sampled_peak,8.25404185268019,3.0,12.0,2,0.897190106442235,0.10086159273604486,0.2913576021425423,203.48751272289735,123.52178386302417,39.23414417303306,113.06644019289061,52.46722412230936,15.695505721115984,131.38195615586594,0.04566618206704118,0.9998873666835627,9.891372334375667e-05,1.3719593094248105e-05,0.0,14.287765985565054,3.154901476667885,151.99408621140682,1.3409163664927739e-05,0.004151347667934616,0.25925925925925924,0.85,0.016623330849080832,0.0013188910561127802,0.00012527781894113114,0.00012526370848490775,1.648562055729278e-05,43.677766066534225
sampled_peak,8.25404185268019,3.0,12.0,3,3.9696499379766,0.1382749517396183,1.8644685278215063,45.9891437529978,162.17099673319694,73.36951519047723,60.9447373553011,125.4043130906865,51.4441633768706,680.1409640279628,0.2245823953648083,0.9797731348231297,0.01661374017941688,0.0036131249974542825,0.0,62.65148408370157,17.23567196143375,830.365141159514,0.0034959776838625815,0.004151347667934616,0.7037037037037037,1.0,0.04708473471265732,0.0064861939229381585,0.013267423194969824,0.012999064814760687,0.00276895669656948,143.15984291226505
sampled_peak,8.25404185268019,3.0,24.0,1,1.2245029033782302,0.09224261408276417,0.35762453719974585,160.70793519024474,140.47680570212287,40.148624973488836,97.4113340087036,76.8379846949245,20.53491927560174,262.5041076971188,0.1368890317023228,0.9941913030777583,0.004570955899844721,0.001237741022397227,0.0,34.95179035894559,6.96616598086663,335.60985675441844,0.0011849513970904248,0.004151347667934616,0.037037037037037035,0.7,0.026919141077868074,0.00395351026558525,0.003285439337100784,0.003266355215735155,0.0007618259833074535,57.144982535237766
