case,primary_nm,secondary_nm,time_h,live_fraction,committed_fraction,membrane_compromised_cumulative,permeability_fluorescence,atp_proxy,caspase_proxy,ldh_proxy,surface_complex_copies,internalized_complex_copies,payload_copies,delivered_payload_cumulative,damage,core_committed,rim_committed,R_copies_per_initial_cell,B_copies_per_initial_cell,T_copies_per_initial_cell,U_copies_per_initial_cell,V_copies_per_initial_cell,W_copies_per_initial_cell,surface_receptors_per_initial_cell,delivery_per_initial_cell_per_h,payload_loss_per_initial_cell_per_h,E_fraction,D_fraction
sampled_peak,8.25404185268019,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,33966.73797345051,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
sampled_peak,8.25404185268019,3.0,6.0,0.9999845176417629,1.5482358237117744e-05,1.1442042689697037e-06,1.2044055688224052e-06,0.9919841389177871,1.4338153968939383e-05,1.1293759548927765e-06,13283.19201168078,4466.637951360856,107.12959907050883,117.20202123896011,0.022899227295468713,4.3158809859278335e-12,2.1998416654178676e-05,40093.850616944976,34784.70015515515,13283.19201168078,27394.778566229477,12488.2141441293,4466.637951360856,88161.74278378091,51.600625042797134,6.188048295853378,1.4338153968939383e-05,1.1442042689697037e-06
sampled_peak,8.25404185268019,3.0,12.0,0.9857370731420534,0.014262926857946612,0.002546126987862252,0.0026795718568746567,0.9381269121718052,0.011716799870085186,0.002463609495295385,14953.621347604712,9721.068338070907,513.2711791563748,624.4100402750969,0.17007678117152764,1.5358896221506768e-07,0.020226865176870334,23777.797617779648,35488.13538819767,14953.621347604712,18605.493196249146,24626.03202529337,9721.068338070907,74219.55435358203,112.30218517607337,29.647705891243312,0.011716799870085184,0.002546126987862252
sampled_peak,8.25404185268019,3.0,24.0,0.6053398609144114,0.3946601390855886,0.20480235548087228,0.21336504044529864,0.6500706630946628,0.18985778360471722,0.18140920778715655,14659.928079858266,13857.22607352821,1509.5726092470068,2329.8711622854994,0.5368312473166086,0.0058086969222417295,0.5015376457619061,11007.386558432478,32764.898061881326,14659.928079858266,8310.249665080742,32221.66083437245,13857.226073528213,58432.212700172066,160.0849530541307,87.19633316250689,0.18985778360471722,0.2048023554808723
sampled_peak,8.25404185268019,3.0,48.0,0.0718177112081848,0.9281822887918152,0.8483287503440611,0.8547089518859675,0.1114133043562496,0.07985353844775489,0.522732749896033,12607.08133895929,13430.716693512957,2464.4918749294184,6210.521386250367,0.7692003059283445,0.742473102012752,0.9513116303285856,7140.680487838954,26268.098554322485,12607.08133895929,2942.2836233729454,28593.0120802129,13430.716693512957,46015.86038112073,155.15772348346496,142.3546328850183,0.07985353844775489,0.8483287503440611
sampled_peak,8.25404185268019,3.0,72.0,0.00645466289237407,0.9935453371076259,0.984257170876047,0.9850579964545967,0.01141816330104192,0.009288166231579804,0.34014427037838957,11418.476938083928,12018.474425723074,2493.537538839536,9724.374114422688,0.7870267309318785,0.9756526522859359,0.9956995786394249,6494.392513178088,23363.9454837586,11418.476938083926,2294.5451291098134,24740.692071009933,12018.474425723072,41276.814935020615,138.84286104702923,144.03237622225078,0.009288166231579804,0.984257170876047
primary_excess,1000.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,33966.73797345051,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
primary_excess,1000.0,3.0,6.0,0.9999999988246467,1.1753532591640692e-09,1.0352173258946363e-10,1.0613143156531025e-10,0.9996131216972057,1.0718319095313592e-09,1.0191357115824513e-10,203.27842091455346,107.3423081067954,3.627633896471569,4.073734307241122,0.0011053662837553037,4.0305825343978086e-10,1.3903347362287377e-09,78.68597087320151,70032.079996046,203.27842091455346,16897.850346141808,41392.81829056315,107.3423081067954,70314.04438783375,1.2400669703170366,0.20954035062024637,1.0718319095313594e-09,1.0352173258946363e-10
primary_excess,1000.0,3.0,12.0,0.9999994276982838,5.723017162395649e-07,1.0058405655667825e-07,1.0228400314531036e-07,0.9976557824672494,4.717176601602351e-07,9.725293745687704e-08,172.84332678638606,148.49689433253474,10.372929934216348,13.232436653380267,0.0066974776781649915,3.133597845650371e-07,6.404739868459686e-07,65.15197377301465,58009.734868934094,172.84332678638603,8348.338078976129,52713.235733054964,148.49689433253474,58247.730169493494,1.7155033938084097,0.59916392817066,4.7171766016023505e-07,1.0058405655667825e-07
primary_excess,1000.0,3.0,24.0,0.9998874947566829,0.00011250524331707368,3.861304535598999e-05,3.898811786035918e-05,0.9898786494348577,7.38921979614286e-05,3.5718112969564244e-05,143.87294855304086,154.17973014866064,20.72740716141538,34.74879134058731,0.028808937851316135,8.297331853601708e-05,0.00012001511234283058,54.02241565826168,47994.17036672596,143.87294855304086,2046.5724362659596,52275.03530639499,154.17973014866064,48192.06573093726,1.7811540875339553,1.1972619861877574,7.38921979614286e-05,3.861304535598999e-05
