case,order,secondary_nm,primary_nm,time_h,permeability_fluorescence,committed_fraction,membrane_compromised_cumulative,atp_proxy,caspase_proxy,ldh_proxy,surface_complex_copies,internalized_complex_copies,payload_copies,delivered_payload_cumulative,core_committed,rim_committed
reference,simultaneous,0.1,56.23413251903491,24.0,5.66e-06,1.655e-05,5.53e-06,0.99462504,1.102e-05,5.13e-06,83.24378129,87.55076515,11.31131887,18.62208228,6.2e-06,1.933e-05
reference,simultaneous,0.1,56.23413251903491,48.0,0.00060713,0.00100697,0.00059954,0.98463815,0.00040743,0.00049414,69.19875449,74.65202039,14.78779797,41.14779646,0.00066048,0.00109444
reference,simultaneous,0.1,56.23413251903491,72.0,0.00390973,0.00510038,0.00387862,0.9765091,0.00122176,0.00271894,62.91538493,66.14761693,14.04222839,60.5283107,0.00397921,0.00538205
reference,simultaneous,0.1,146.77992676220705,24.0,4.2e-07,1.22e-06,4.1e-07,0.99775136,8.1e-07,3.8e-07,32.408582,34.50208729,4.57237929,7.61560542,7.4e-07,1.34e-06
reference,simultaneous,0.1,146.77992676220705,48.0,4.204e-05,6.979e-05,4.174e-05,0.99390991,2.806e-05,3.434e-05,26.86422936,29.02154475,5.80817447,16.41411213,5.569e-05,7.321e-05
reference,simultaneous,0.1,146.77992676220705,72.0,0.00026705,0.00034916,0.00026585,0.991709,8.331e-05,0.00018603,24.43521491,25.68799624,5.4700959,23.94214505,0.00030512,0.00035988
reference,simultaneous,0.1,383.1186849557293,24.0,3e-08,8e-08,3e-08,0.9991074,5e-08,2e-08,12.48995535,13.36041435,1.78915153,2.99428931,5e-08,8e-08
reference,simultaneous,0.1,383.1186849557293,48.0,2.57e-06,4.27e-06,2.56e-06,0.99761747,1.71e-06,2.1e-06,10.34447375,11.18057355,2.24672988,6.38986731,3.65e-06,4.43e-06
reference,simultaneous,0.1,383.1186849557293,72.0,1.623e-05,2.123e-05,1.618e-05,0.99683095,5.05e-06,1.131e-05,9.41112287,9.89310657,2.10917662,9.28926218,1.93e-05,2.171e-05
reference,simultaneous,0.1,1000.0,24.0,0.0,0.0,0.0,0.99965354,0.0,0.0,4.79571548,5.13908037,0.69082001,1.15809094,0.0,0.0
reference,simultaneous,0.1,1000.0,48.0,1.5e-07,2.5e-07,1.5e-07,0.99907878,1e-07,1.2e-07,3.97081691,4.29248766,0.86386346,2.46256806,2.1e-07,2.6e-07
reference,simultaneous,0.1,1000.0,72.0,9.4e-07,1.23e-06,9.4e-07,0.99877953,2.9e-07,6.6e-07,3.61289028,3.79782484,0.81002802,3.57561572,1.13e-06,1.26e-06
reference,simultaneous,3.0,0.01,24.0,1.05e-06,3.55e-06,1e-06,0.99709857,2.56e-06,9.4e-07,108.02303992,86.59180175,7.96386052,11.76587117,0.0,5.05e-06
reference,simultaneous,3.0,0.01,48.0,0.00055833,0.00103884,0.00053044,0.98548896,0.0005084,0.0004569,129.53653334,125.34787392,19.09442385,42.23307744,1e-08,0.00147558
reference,simultaneous,3.0,0.01,72.0,0.00848502,0.01189935,0.00806175,0.96680849,0.00383761,0.00616686,132.24303773,134.1431358,24.58151055,78.59347459,3.1e-07,0.0168947
reference,simultaneous,3.0,0.026101572156825372,24.0,1.777e-05,5.988e-05,1.688e-05,0.9925728,4.3e-05,1.588e-05,281.7062054,225.85083542,20.77378358,30.69172485,0.0,8.508e-05
reference,simultaneous,3.0,0.026101572156825372,48.0,0.00815764,0.01479245,0.00775033,0.95886554,0.00704212,0.00664109,337.6190694,326.7572219,49.78745711,110.13383457,1.4e-07,0.02100915
reference,simultaneous,3.0,0.026101572156825372,72.0,0.09616983,0.12794673,0.09137802,0.85788678,0.03656871,0.06805722,344.54662829,349.53778603,64.06805468,204.8967035,5.5e-06,0.18156486
reference,simultaneous,3.0,0.06812920690579614,24.0,0.00028026,0.00092727,0.00026625,0.98141058,0.00066101,0.00025014,733.56606233,588.35275859,54.13204441,79.97861219,0.0,0.00131743
reference,simultaneous,3.0,0.06812920690579614,48.0,0.08109895,0.13367221,0.07705386,0.8572958,0.05661835,0.06470249,877.84451702,849.98593612,129.59440358,286.76872063,2.59e-06,0.18975575
reference,simultaneous,3.0,0.06812920690579614,72.0,0.4300553,0.49127261,0.4088199,0.53905853,0.08245271,0.2719737,894.97931687,908.22594665,166.58177185,533.12397471,9.781e-05,0.69409979
reference,simultaneous,3.0,0.1778279410038923,24.0,0.00367065,0.01153207,0.00348724,0.95462843,0.00804483,0.00326564,1902.54169925,1527.57175839,140.65228121,207.82718655,3e-08,0.01638298
reference,simultaneous,3.0,0.1778279410038923,48.0,0.32054488,0.42800433,0.30467624,0.6162934,0.12332809,0.23954937,2267.36981253,2198.14272816,335.73486709,743.59361193,4.737e-05,0.60506378
reference,simultaneous,3.0,0.1778279410038923,72.0,0.67957381,0.69789063,0.64900863,0.31584365,0.048882,0.34824482,2305.37383617,2341.50474906,430.24748191,1379.62920274,0.00173947,0.94292351
reference,simultaneous,3.0,0.464158883361278,24.0,0.03021083,0.08201017,0.02870255,0.89094847,0.05330763,0.02661701,4875.47191159,3926.73081784,362.32193457,535.48276692,4.9e-07,0.11645855
reference,simultaneous,3.0,0.464158883361278,48.0,0.54247933,0.62406473,0.51740764,0.41379594,0.10665709,0.36703798,5739.50295612,5585.02994656,857.50009113,1904.23222412,0.00090565,0.84887316
reference,simultaneous,3.0,0.464158883361278,72.0,0.82975504,0.85637489,0.80756187,0.164775,0.04881303,0.37631268,5788.28091567,5894.23148029,1088.99637294,3512.19834762,0.03010933,0.98512895
reference,simultaneous,3.0,1.2115276586285888,24.0,0.11112699,0.23744073,0.1056091,0.77818642,0.13183162,0.09584098,11941.93476365,9719.69353469,902.85733332,1335.17160479,1.033e-05,0.33604241
reference,simultaneous,3.0,1.2115276586285888,48.0,0.69944949,0.78281089,0.67698975,0.26220032,0.10582114,0.44501514,13444.96411095,13262.97216745,2075.04208326,4650.67604384,0.01904899,0.92800878
reference,simultaneous,3.0,1.2115276586285888,72.0,0.93553983,0.95337825,0.92492529,0.06034641,0.02845296,0.38008037,13180.29426285,13541.46211476,2551.40101582,8401.309617,0.35405978,0.99366192
reference,simultaneous,3.0,3.1622776601683795,24.0,0.19619248,0.35854562,0.18682988,0.6775005,0.17171574,0.16583295,21554.96315129,18500.86780783,1781.00571153,2648.30090038,0.00022662,0.49443685
reference,simultaneous,3.0,3.1622776601683795,48.0,0.81463753,0.89097427,0.80085551,0.15098144,0.09011876,0.50105559,20894.25139709,21448.65666409,3602.37431112,8409.53045822,0.28948035,0.95228934
reference,simultaneous,3.0,3.1622776601683795,72.0,0.97684292,0.98838871,0.97400305,0.01910722,0.01438567,0.35495488,19626.73863383,20424.20917213,4031.27707226,14229.70910644,0.88743938,0.99590542
reference,simultaneous,3.0,8.25404185268019,24.0,0.21336504,0.39466014,0.20480236,0.65007066,0.18985778,0.18140921,14659.92807986,13857.22607353,1509.57260925,2329.87116229,0.0058087,0.50153765
reference,simultaneous,3.0,8.25404185268019,48.0,0.85470895,0.92818229,0.84832875,0.1114133,0.07985354,0.52273275,12607.08133896,13430.71669351,2464.49187493,6210.52138625,0.7424731,0.95131163
reference,simultaneous,3.0,8.25404185268019,72.0,0.985058,0.99354534,0.98425717,0.01141816,0.00928817,0.34014427,11418.47693808,12018.47442572,2493.53753884,9724.37411442,0.97565265,0.99569958
reference,simultaneous,3.0,21.544346900318843,24.0,0.15351827,0.31809494,0.14943276,0.71291694,0.16866219,0.13422209,6266.28737847,6428.42407587,787.7705415,1266.18348531,0.09472965,0.36886108
reference,simultaneous,3.0,21.544346900318843,48.0,0.82390705,0.91152782,0.82089447,0.13512127,0.09063336,0.52379359,5248.19594046,5643.66226335,1094.52743316,2951.68836096,0.84339455,0.92372073
reference,simultaneous,3.0,21.544346900318843,72.0,0.98015795,0.99124831,0.97975104,0.01509972,0.01149728,0.35556108,4766.90096645,5013.23152841,1057.45410373,4419.73399484,0.98402941,0.99252541
reference,simultaneous,3.0,56.23413251903491,24.0,0.05189695,0.12758766,0.05095376,0.84694099,0.07663391,0.0465514,2499.7367733,2631.93128466,340.58283744,560.99424254,0.06570199,0.1424476
reference,simultaneous,3.0,56.23413251903491,48.0,0.66371457,0.79539668,0.66146633,0.27281603,0.13393035,0.46505261,2076.94131993,2241.04947936,444.3182079,1237.56725518,0.73764295,0.80762472
reference,simultaneous,3.0,56.23413251903491,72.0,0.94529052,0.97175708,0.94478703,0.04359917,0.02697005,0.41030104,1888.18076385,1985.25541968,421.58816561,1819.27921081,0.96224823,0.97375125
reference,simultaneous,3.0,146.77992676220705,24.0,0.00730194,0.02004196,0.00720939,0.93713271,0.01283258,0.00664379,972.42116066,1035.56386803,137.32060773,228.77153137,0.0129321,0.02175596
reference,simultaneous,3.0,146.77992676220705,48.0,0.29455713,0.4159732,0.29331477,0.62111926,0.12265843,0.2278438,805.98693096,870.74943977,174.31222232,492.79262471,0.3711345,0.4262491
reference,simultaneous,3.0,146.77992676220705,72.0,0.72827443,0.80453745,0.72732706,0.23408055,0.07721038,0.41143617,733.10014981,770.69089,164.12922517,718.65281755,0.77998315,0.81012139
reference,simultaneous,3.0,383.1186849557293,24.0,0.00059856,0.00170561,0.00059248,0.97462278,0.00111312,0.00054752,374.71233147,400.86919031,53.69430492,89.87061797,0.00122576,0.00182471
reference,simultaneous,3.0,383.1186849557293,48.0,0.04401683,0.0698325,0.04381421,0.89881912,0.0260183,0.03549389,310.33807373,335.42572011,67.40976725,191.74469439,0.06111399,0.0719617
reference,simultaneous,3.0,383.1186849557293,72.0,0.20666187,0.25609593,0.20616193,0.73450198,0.049934,0.13706854,282.33625464,296.79638564,63.27793381,278.72792122,0.23953354,0.26014115
reference,simultaneous,3.0,1000.0,24.0,3.899e-05,0.00011251,3.861e-05,0.98987865,7.389e-05,3.572e-05,143.87294855,154.17973015,20.72740716,34.74879134,8.297e-05,0.00012002
reference,simultaneous,3.0,1000.0,48.0,0.00341916,0.0055975,0.00340314,0.97091988,0.00219435,0.00278408,119.12479224,128.77550119,25.91695484,73.88392634,0.00488625,0.00577581
reference,simultaneous,3.0,1000.0,72.0,0.01984666,0.02562184,0.01979109,0.94762823,0.00583075,0.01366474,108.38686166,113.93496452,24.30115861,107.27547592,0.02367257,0.02611034
reference,simultaneous,100.0,0.01,24.0,1.18e-06,4.01e-06,1.12e-06,0.99698405,2.89e-06,1.06e-06,114.03440912,90.92917718,8.31087754,12.26514925,0.0,5.7e-06
reference,simultaneous,100.0,0.01,48.0,0.00064292,0.00119881,0.0006108,0.984734,0.00058801,0.0005264,137.78111375,133.04532534,20.17708496,44.47209027,1e-08,0.00170293
reference,simultaneous,100.0,0.01,72.0,0.00987677,0.01386378,0.00938392,0.96421948,0.00447986,0.00718335,141.19563196,143.0453849,26.13340438,83.16485978,2.7e-07,0.01968603
reference,simultaneous,100.0,0.026101572156825372,24.0,2.003e-05,6.752e-05,1.902e-05,0.99228242,4.849e-05,1.789e-05,297.49107139,237.2481851,21.68696249,32.00635527,0.0,9.594e-05
reference,simultaneous,100.0,0.026101572156825372,48.0,0.00929975,0.01686699,0.00883531,0.9563494,0.00803168,0.00757211,359.25406657,346.96013185,52.63035233,116.01634615,1.2e-07,0.02395751
reference,simultaneous,100.0,0.026101572156825372,72.0,0.10834725,0.14354902,0.10294672,0.84499422,0.0406023,0.07653297,368.03069463,372.89268625,68.14056203,216.89935665,4.8e-06,0.20373281
reference,simultaneous,100.0,0.06812920690579614,24.0,0.00031547,0.00104316,0.0002997,0.98068889,0.00074346,0.00028154,775.42198902,618.62739208,56.56706697,83.48944364,0.0,0.00148215
reference,simultaneous,100.0,0.06812920690579614,48.0,0.08945351,0.14643959,0.08499033,0.8478049,0.06144926,0.07126722,935.11390371,903.48992079,137.13242971,302.38873406,2.1e-06,0.20790455
reference,simultaneous,100.0,0.06812920690579614,72.0,0.45054544,0.50992298,0.42828789,0.52101478,0.08163508,0.28225957,957.08117701,970.00653903,177.36271388,564.94198758,8.542e-05,0.72054737
reference,simultaneous,100.0,0.1778279410038923,24.0,0.00411581,0.01287963,0.00391013,0.95276941,0.0089695,0.00366053,2016.45930561,1610.34789312,147.37602001,217.55864124,2e-08,0.01829853
